Customer S.No,Age,Gender,Item Purchased,Category,Purchase Amount,Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchase,Preferred Payment Method,Frequency of Purchase
1362,41,Male,Running Shoes,Bags,734.89,Boston,L,Yellow,Winter,4.1,Active,Credit Card,Free ship,Yes,None,Yes,Google Pay,Yearly
1363,47,Male,Smartphone,Beauty,785.44,Seattle,N/A,Gold,Fall,5.0,Active,Google Pay,Free ship,No,None,Yes,Credit Card,Yearly
1364,44,Other,Dress,Footwear,181.96,Boston,L,Blue,All Seasons,2.8,Active,Digital Wallet,Store pickup,Yes,SUMMER20,No,Apple Pay,Monthly
1365,20,Male,Perfume,Beauty,31.92,New York,S,Red,Fall,2.9,Active,Digital Wallet,Express,No,None,No,PayPal,Monthly
1366,39,Male,Dress,Accessories,537.83,Seattle,S,Blue,Winter,5.0,Active,Digital Wallet,Free ship,Yes,SPRING15,Yes,Apple Pay,Bi-Weekly
1367,42,Male,Running Shoes,Clothing,324.58,New York,XL,Olive,Summer,1.8,Active,Google Pay,Nextday,Yes,BEAUTY5,Yes,PayPal,Monthly
1368,60,Female,Wristwatch,Bags,488.52,San Francisco,N/A,Orange,Fall,4.2,Inactive,Credit Card,Nextday,Yes,SPRING15,No,Apple Pay,Quarterly
1369,33,Other,T-Shirt,Clothing,262.29,San Francisco,S,Olive,Summer,3.7,Inactive,Debit Card,Express,Yes,BEAUTY5,Yes,PayPal,Monthly
1370,39,Male,kurta,Beauty,96.0,Houston,L,Black,Winter,3.6,Inactive,Digital Wallet,Nextday,No,None,No,Debit Card,Yearly
1371,46,Female,Gaming Console,Bags,227.46,Las Vegas,S,Red,Winter,1.9,Inactive,Digital Wallet,Express,No,None,Yes,Google Pay,Bi-Weekly
1372,26,Female,Perfume,Beauty,179.86,Denver,N/A,White,Fall,3.7,Inactive,Apple Pay,Express,Yes,BEAUTY5,No,PayPal,Monthly
1373,32,Other,sunglasses,Clothing,684.16,New York,M,Olive,All Seasons,1.5,Inactive,Digital Wallet,Store pickup,No,None,No,PayPal,Monthly
1374,32,Other,Wristwatch,Beauty,421.26,Boston,M,Pink,Spring,2.6,Inactive,Google Pay,Store pickup,Yes,SUMMER20,No,PayPal,Yearly
1375,43,Male,T-Shirt,Footwear,913.33,Seattle,S,Purple,Winter,3.2,Inactive,Credit Card,Nextday,Yes,BEAUTY5,No,Apple Pay,Quarterly
1376,39,Other,Backpack,Electronics,792.33,Boston,L,Yellow,Winter,3.1,Active,Credit Card,Standard,No,None,Yes,Apple Pay,Monthly
1377,33,Female,Handbag,Beauty,975.23,New York,XL,Yellow,All Seasons,4.8,Active,Google Pay,Express,No,None,Yes,Debit Card,Yearly
1378,26,Female,Backpack,Footwear,357.69,Houston,M,Gray,Winter,4.5,Active,Credit Card,Store pickup,No,None,Yes,Debit Card,Monthly
1379,38,Male,kurta,Beauty,319.89,Seattle,M,Olive,Spring,1.5,Active,Debit Card,Store pickup,No,None,Yes,PayPal,Yearly
1380,46,Male,sweater,Clothing,527.27,Boston,XL,Gold,All Seasons,1.8,Active,Digital Wallet,Express,No,None,Yes,Google Pay,Quarterly
1381,41,Other,sunglasses,Bags,108.18,Las Vegas,M,White,All Seasons,2.3,Inactive,Digital Wallet,Standard,Yes,BEAUTY5,No,Debit Card,Bi-Weekly
1382,58,Female,Backpack,Beauty,634.61,Boston,L,Grey,Fall,3.7,Inactive,Credit Card,Free ship,Yes,None,No,Google Pay,Monthly
1383,30,Male,Dress,Footwear,767.99,Las Vegas,S,Blue,Fall,2.0,Inactive,PayPal,Nextday,Yes,SUMMER20,Yes,PayPal,Monthly
1384,21,Other,Wristwatch,Accessories,532.16,Miami,N/A,Gray,Winter,1.6,Inactive,PayPal,Express,No,None,No,Debit Card,Quarterly
1385,37,Male,T-Shirt,Accessories,271.8,Las Vegas,L,Grey,Fall,2.2,Active,Google Pay,Free ship,No,None,No,PayPal,Yearly
1386,29,Male,jeans,Accessories,203.84,New York,L,Green,Fall,3.8,Inactive,PayPal,Store pickup,Yes,SPRING15,No,Credit Card,Weekly
1387,31,Male,Wristwatch,Footwear,154.01,Seattle,L,Orange,Winter,1.4,Active,Digital Wallet,Express,Yes,TECH10,Yes,PayPal,Weekly
1388,45,Other,kurta,Clothing,701.3,Boston,M,Pink,All Seasons,4.6,Active,PayPal,Store pickup,No,None,Yes,Credit Card,Monthly
1389,53,Male,Handbag,Footwear,155.05,New York,S,Gray,Winter,4.9,Inactive,PayPal,Free ship,Yes,BEAUTY5,Yes,Apple Pay,Monthly
1390,36,Other,Handbag,Accessories,295.13,Seattle,XL,Grey,Winter,2.8,Active,Google Pay,Standard,No,None,Yes,Debit Card,Weekly
1391,35,Female,Gaming Console,Beauty,632.2,New York,XL,Pink,Spring,4.8,Inactive,Credit Card,Free ship,Yes,TECH10,Yes,Google Pay,Monthly
1392,26,Female,Smartphone,Footwear,573.79,Chicago,N/A,Olive,Summer,3.3,Inactive,Apple Pay,Express,No,None,No,PayPal,Monthly
1393,31,Other,Laptop,Electronics,794.55,Los Angeles,L,Grey,Spring,4.7,Inactive,Debit Card,Standard,Yes,SUMMER20,No,Apple Pay,Monthly
1394,19,Other,Handbag,Beauty,614.85,Boston,S,Gray,All Seasons,4.7,Inactive,Apple Pay,Free ship,No,None,Yes,Debit Card,Quarterly
1395,29,Female,kurta,Bags,790.54,Las Vegas,L,Gray,Spring,1.6,Inactive,Digital Wallet,Free ship,Yes,SPRING15,No,PayPal,Yearly
1396,53,Other,Dress,Accessories,31.52,San Francisco,L,Blue,Summer,2.3,Active,Google Pay,Express,Yes,SUMMER20,Yes,Credit Card,Yearly
1397,24,Female,Laptop,Clothing,649.04,Houston,M,Black,Summer,2.4,Active,PayPal,Standard,Yes,BEAUTY5,Yes,Debit Card,Yearly
1398,36,Female,Wristwatch,Beauty,707.72,Miami,XL,Blue,Winter,2.4,Inactive,PayPal,Nextday,Yes,SUMMER20,Yes,Google Pay,Yearly
1399,19,Male,Wristwatch,Electronics,946.83,Boston,S,Red,Spring,3.4,Active,Digital Wallet,Express,No,None,No,Apple Pay,Yearly
1400,52,Male,Smartphone,Accessories,912.68,Seattle,N/A,Blue,All Seasons,3.0,Active,Debit Card,Express,No,None,No,Credit Card,Quarterly
1401,58,Female,Backpack,Beauty,428.09,Los Angeles,S,Red,All Seasons,3.7,Active,Apple Pay,Store pickup,No,None,No,Google Pay,Bi-Weekly
1402,27,Male,Gaming Console,Accessories,266.01,Denver,N/A,Green,Winter,4.3,Inactive,Apple Pay,Free ship,Yes,TECH10,No,PayPal,Monthly
1403,26,Female,Handbag,Footwear,329.37,Chicago,N/A,Yellow,Fall,4.1,Active,Debit Card,Express,Yes,SUMMER20,No,Credit Card,Weekly
1404,42,Other,Backpack,Beauty,369.69,Miami,M,Red,All Seasons,2.0,Inactive,Debit Card,Standard,Yes,BEAUTY5,Yes,Google Pay,Quarterly
1405,45,Other,Dress,Electronics,668.72,Denver,S,Purple,Fall,4.4,Inactive,Google Pay,Express,No,None,Yes,Credit Card,Monthly
1406,50,Other,jeans,Footwear,147.05,Miami,M,Red,Fall,4.5,Inactive,Credit Card,Free ship,No,None,Yes,Credit Card,Quarterly
1407,56,Male,Laptop,Electronics,329.92,Las Vegas,S,Olive,Winter,3.7,Active,Debit Card,Free ship,Yes,TECH10,Yes,Credit Card,Bi-Weekly
1408,37,Male,Laptop,Beauty,266.76,San Francisco,XL,Red,Spring,3.4,Active,Digital Wallet,Store pickup,Yes,SUMMER20,No,Debit Card,Quarterly
1409,48,Male,sunglasses,Bags,780.46,Seattle,S,Purple,Fall,3.2,Inactive,Apple Pay,Express,Yes,None,Yes,Google Pay,Weekly
1410,43,Other,Wristwatch,Bags,577.18,Miami,L,White,Fall,2.6,Inactive,Google Pay,Standard,No,None,No,Debit Card,Bi-Weekly
1411,59,Male,sweater,Bags,452.41,Boston,S,Silver,Winter,3.2,Inactive,Google Pay,Standard,No,None,Yes,PayPal,Weekly
1412,30,Female,Handbag,Clothing,607.41,Las Vegas,S,Olive,All Seasons,2.5,Inactive,Apple Pay,Express,No,None,No,PayPal,Yearly
1413,24,Male,Wristwatch,Bags,821.38,San Francisco,N/A,Green,Spring,3.2,Inactive,Debit Card,Standard,No,None,Yes,Google Pay,Quarterly
1414,54,Male,Running Shoes,Electronics,809.96,Miami,XL,Gold,Winter,2.6,Active,Google Pay,Express,No,None,Yes,Credit Card,Weekly
1415,43,Other,Wristwatch,Accessories,751.85,Miami,XL,Yellow,Winter,1.8,Inactive,Google Pay,Standard,Yes,SUMMER20,Yes,PayPal,Bi-Weekly
1416,59,Female,Dress,Footwear,39.41,Houston,S,Purple,Summer,1.6,Inactive,Credit Card,Store pickup,No,None,Yes,Apple Pay,Bi-Weekly
1417,60,Other,Backpack,Beauty,872.07,New York,M,Pink,All Seasons,4.6,Active,Credit Card,Store pickup,Yes,SUMMER20,No,Google Pay,Bi-Weekly
1418,35,Other,Smartphone,Clothing,578.29,San Francisco,XL,Red,All Seasons,1.6,Inactive,Apple Pay,Standard,Yes,TECH10,Yes,PayPal,Bi-Weekly
1419,58,Female,Backpack,Beauty,528.38,Los Angeles,N/A,Grey,Spring,2.4,Active,Digital Wallet,Store pickup,Yes,SUMMER20,Yes,Credit Card,Quarterly
1420,58,Other,kurta,Bags,747.58,Denver,XL,Blue,Summer,4.4,Inactive,Digital Wallet,Express,No,None,No,Debit Card,Weekly
1421,22,Female,T-Shirt,Footwear,913.88,New York,S,Black,Spring,1.4,Active,PayPal,Free ship,No,None,No,Google Pay,Weekly
1422,53,Male,Dress,Electronics,105.07,Las Vegas,L,Gold,Summer,3.1,Active,Debit Card,Nextday,No,None,Yes,Credit Card,Weekly
1423,43,Male,Running Shoes,Electronics,224.75,Las Vegas,M,Yellow,All Seasons,4.7,Inactive,PayPal,Nextday,No,None,Yes,Apple Pay,Weekly
1424,32,Male,Gaming Console,Beauty,268.7,Boston,M,Gold,Summer,4.1,Inactive,Digital Wallet,Nextday,No,None,Yes,PayPal,Monthly
1425,54,Other,sunglasses,Beauty,644.02,Boston,M,Blue,Fall,4.7,Active,PayPal,Express,Yes,SUMMER20,No,Credit Card,Bi-Weekly
1426,46,Other,Running Shoes,Beauty,742.93,Seattle,S,Green,Spring,3.4,Inactive,Debit Card,Express,Yes,BEAUTY5,Yes,Google Pay,Yearly
1427,28,Male,Gaming Console,Footwear,87.58,San Francisco,L,Green,Spring,2.9,Active,Credit Card,Express,No,None,No,PayPal,Yearly
1428,28,Male,kurta,Accessories,658.61,Miami,L,Black,Summer,2.6,Active,Debit Card,Store pickup,Yes,SPRING15,No,Credit Card,Monthly
1429,42,Female,Dress,Electronics,689.58,Houston,N/A,Purple,Spring,1.8,Inactive,Apple Pay,Nextday,No,None,Yes,Google Pay,Yearly
1430,27,Other,Perfume,Electronics,401.0,New York,XL,Gold,Spring,4.9,Inactive,Debit Card,Nextday,No,None,Yes,Debit Card,Bi-Weekly
1431,41,Male,Laptop,Electronics,31.28,Los Angeles,N/A,Yellow,Winter,1.8,Inactive,Credit Card,Standard,No,None,Yes,PayPal,Weekly
1432,46,Other,Dress,Clothing,517.36,Las Vegas,S,Red,All Seasons,4.1,Inactive,PayPal,Store pickup,Yes,TECH10,No,Credit Card,Bi-Weekly
1433,44,Other,kurta,Bags,876.26,Los Angeles,M,Yellow,Summer,1.3,Inactive,PayPal,Free ship,Yes,SPRING15,No,PayPal,Quarterly
1434,26,Male,T-Shirt,Footwear,682.26,New York,S,Gold,Winter,3.4,Active,Digital Wallet,Standard,Yes,SPRING15,Yes,Google Pay,Monthly
1435,36,Female,Gaming Console,Accessories,815.24,Chicago,L,Gray,Fall,4.6,Active,Credit Card,Nextday,No,None,No,Apple Pay,Bi-Weekly
1436,52,Male,kurta,Beauty,588.78,Las Vegas,N/A,Blue,Winter,3.8,Inactive,Apple Pay,Free ship,No,None,No,Credit Card,Monthly
1437,59,Male,jeans,Bags,30.56,New York,XL,Blue,Summer,3.4,Active,PayPal,Express,No,None,No,Apple Pay,Bi-Weekly
1438,46,Male,Running Shoes,Footwear,209.79,Chicago,L,Yellow,Fall,4.7,Inactive,Debit Card,Standard,No,None,No,PayPal,Yearly
1439,26,Male,Smartphone,Footwear,498.86,Houston,S,Black,Winter,2.1,Active,Debit Card,Nextday,No,None,No,Google Pay,Monthly
1440,45,Female,Handbag,Accessories,549.01,San Francisco,S,Black,Spring,4.3,Active,PayPal,Free ship,Yes,TECH10,Yes,Credit Card,Yearly
1441,37,Female,Handbag,Bags,579.82,Houston,XL,Purple,All Seasons,1.3,Active,Apple Pay,Store pickup,No,None,Yes,Google Pay,Quarterly
1442,18,Female,Dress,Electronics,205.13,Los Angeles,XL,Gray,Spring,4.9,Active,Credit Card,Nextday,Yes,TECH10,No,Google Pay,Monthly
1443,44,Female,Perfume,Electronics,622.22,Boston,S,Olive,All Seasons,2.0,Inactive,PayPal,Free ship,Yes,BEAUTY5,Yes,Debit Card,Bi-Weekly
1444,32,Other,Handbag,Electronics,58.68,Miami,XL,Olive,Winter,2.8,Inactive,Apple Pay,Nextday,No,None,Yes,Debit Card,Monthly
1445,36,Other,Backpack,Bags,467.38,Seattle,N/A,Green,Fall,3.6,Inactive,Digital Wallet,Nextday,No,None,No,Apple Pay,Weekly
1446,38,Male,T-Shirt,Bags,444.93,Seattle,XL,Blue,Fall,3.7,Inactive,Credit Card,Nextday,No,None,Yes,PayPal,Yearly
1447,25,Other,Gaming Console,Beauty,119.13,Denver,XL,Yellow,Winter,3.1,Inactive,Debit Card,Express,No,None,No,Debit Card,Monthly
1448,38,Other,Wristwatch,Beauty,577.02,Houston,S,Yellow,Winter,3.3,Inactive,Debit Card,Free ship,No,None,No,Apple Pay,Bi-Weekly
1449,44,Female,Wristwatch,Electronics,926.17,Miami,L,Pink,Summer,1.3,Active,PayPal,Free ship,Yes,SPRING15,Yes,Credit Card,Quarterly
1450,35,Female,sunglasses,Bags,674.33,New York,XL,Black,Spring,2.1,Active,Debit Card,Store pickup,No,None,Yes,Debit Card,Quarterly
1451,20,Female,Smartphone,Clothing,918.2,San Francisco,M,White,Winter,4.7,Active,Credit Card,Nextday,Yes,TECH10,Yes,PayPal,Quarterly
1452,40,Other,T-Shirt,Beauty,488.08,Chicago,N/A,Gold,All Seasons,1.2,Inactive,Google Pay,Store pickup,Yes,TECH10,No,Credit Card,Yearly
1453,36,Female,sweater,Clothing,659.27,Miami,N/A,Black,Winter,3.1,Active,Digital Wallet,Store pickup,No,None,No,Apple Pay,Quarterly
1454,24,Other,Dress,Footwear,552.4,Miami,L,Orange,Winter,4.6,Active,Digital Wallet,Express,No,None,No,Apple Pay,Yearly
1455,31,Male,sweater,Bags,130.11,Boston,XL,Silver,Summer,1.5,Inactive,Apple Pay,Free ship,Yes,TECH10,No,PayPal,Bi-Weekly
1456,37,Other,Laptop,Clothing,72.58,Los Angeles,N/A,Purple,All Seasons,2.6,Inactive,Apple Pay,Free ship,Yes,None,Yes,Credit Card,Bi-Weekly
1457,52,Male,Laptop,Electronics,845.32,Miami,XL,Grey,Summer,1.8,Active,Apple Pay,Store pickup,Yes,None,Yes,Credit Card,Weekly
1458,40,Female,Laptop,Clothing,439.71,Houston,S,Orange,Fall,2.2,Active,Credit Card,Express,No,None,No,Google Pay,Quarterly
1459,35,Male,Wristwatch,Beauty,866.17,Las Vegas,L,Gold,Summer,3.3,Active,Apple Pay,Nextday,No,None,No,PayPal,Yearly
1460,36,Female,Backpack,Footwear,588.44,Seattle,M,Purple,Summer,4.0,Active,PayPal,Nextday,Yes,SUMMER20,No,Debit Card,Bi-Weekly
1461,30,Other,kurta,Beauty,810.58,New York,S,Olive,Winter,3.7,Active,Credit Card,Nextday,No,None,No,PayPal,Weekly
1462,26,Male,sweater,Footwear,979.01,Boston,M,Purple,Spring,1.5,Inactive,Credit Card,Store pickup,No,None,Yes,Google Pay,Yearly
1463,58,Other,sunglasses,Clothing,975.16,Chicago,L,Orange,Summer,2.0,Inactive,Digital Wallet,Store pickup,No,None,Yes,Debit Card,Weekly
1464,56,Female,Dress,Beauty,244.99,Boston,N/A,Red,Summer,2.6,Inactive,Credit Card,Nextday,No,None,No,PayPal,Weekly
1465,29,Other,T-Shirt,Footwear,683.25,Seattle,L,Red,Winter,4.9,Inactive,Google Pay,Nextday,Yes,BEAUTY5,Yes,PayPal,Weekly
1466,45,Other,Wristwatch,Bags,594.12,Las Vegas,XL,Blue,Winter,3.5,Active,Digital Wallet,Free ship,No,None,Yes,Google Pay,Weekly
1467,18,Other,Dress,Clothing,783.06,San Francisco,N/A,Purple,Winter,2.5,Inactive,PayPal,Nextday,No,None,Yes,Credit Card,Bi-Weekly
1468,56,Other,Dress,Bags,18.51,New York,XL,White,Fall,1.8,Active,Credit Card,Express,No,None,Yes,PayPal,Monthly
1469,23,Female,Dress,Bags,944.01,Boston,N/A,Gray,Fall,4.6,Active,Digital Wallet,Store pickup,Yes,SUMMER20,Yes,Debit Card,Bi-Weekly
1470,55,Female,Backpack,Footwear,303.26,Chicago,XL,Yellow,Fall,2.1,Inactive,Google Pay,Express,Yes,BEAUTY5,No,Google Pay,Bi-Weekly
1471,18,Male,Gaming Console,Electronics,53.93,Denver,XL,Blue,Winter,2.0,Active,Debit Card,Standard,Yes,SUMMER20,No,Apple Pay,Yearly
1472,28,Female,jeans,Electronics,158.4,San Francisco,M,Black,Winter,2.4,Active,Apple Pay,Store pickup,No,None,Yes,PayPal,Yearly
1473,59,Female,sweater,Beauty,380.37,Houston,S,Black,Winter,4.3,Active,Credit Card,Store pickup,No,None,No,Debit Card,Bi-Weekly
1474,55,Other,Handbag,Beauty,883.1,Seattle,XL,Orange,All Seasons,1.6,Inactive,Apple Pay,Store pickup,No,None,Yes,PayPal,Yearly
1475,46,Female,kurta,Bags,187.98,Seattle,M,White,Spring,1.2,Active,Apple Pay,Express,Yes,SUMMER20,No,PayPal,Weekly
1476,57,Male,sunglasses,Accessories,898.36,Houston,S,Pink,Fall,3.4,Inactive,Google Pay,Standard,Yes,SUMMER20,Yes,Google Pay,Bi-Weekly
1477,29,Other,Perfume,Clothing,273.97,Houston,XL,Silver,Winter,4.7,Inactive,PayPal,Express,No,None,No,Google Pay,Weekly
1478,42,Other,sunglasses,Beauty,586.11,New York,N/A,Purple,Summer,2.7,Inactive,Google Pay,Express,Yes,SUMMER20,Yes,Apple Pay,Quarterly
1479,25,Other,kurta,Beauty,349.58,New York,L,Purple,Spring,1.8,Active,Apple Pay,Nextday,No,None,No,Credit Card,Quarterly
1480,21,Female,Wristwatch,Clothing,169.87,Seattle,N/A,Grey,Fall,4.3,Active,Digital Wallet,Free ship,No,None,Yes,PayPal,Quarterly
1481,32,Other,Running Shoes,Clothing,437.88,New York,M,Blue,Winter,3.5,Active,Digital Wallet,Standard,Yes,SUMMER20,Yes,PayPal,Weekly
1482,60,Female,kurta,Beauty,150.54,San Francisco,XL,Green,Summer,4.4,Active,Digital Wallet,Store pickup,Yes,SPRING15,No,PayPal,Quarterly
1483,44,Male,jeans,Bags,141.81,San Francisco,S,Green,Summer,3.7,Active,Digital Wallet,Nextday,No,None,No,Google Pay,Bi-Weekly
1484,59,Male,Running Shoes,Accessories,662.8,Denver,M,White,All Seasons,4.8,Inactive,Apple Pay,Store pickup,Yes,SPRING15,No,Google Pay,Quarterly
1485,44,Male,T-Shirt,Bags,319.61,New York,M,Gold,Fall,2.9,Active,PayPal,Store pickup,Yes,None,No,Credit Card,Bi-Weekly
1486,51,Other,Backpack,Footwear,110.32,New York,L,Red,Fall,2.6,Inactive,Digital Wallet,Nextday,Yes,TECH10,No,Debit Card,Bi-Weekly
1487,50,Female,Gaming Console,Bags,165.99,Houston,S,Yellow,Summer,3.4,Active,Debit Card,Nextday,Yes,BEAUTY5,No,Debit Card,Monthly
1488,48,Other,T-Shirt,Beauty,848.58,New York,N/A,Yellow,Summer,2.3,Inactive,Debit Card,Standard,Yes,BEAUTY5,No,PayPal,Bi-Weekly
1489,42,Male,Smartphone,Bags,369.69,Houston,M,Grey,Fall,3.2,Active,PayPal,Store pickup,Yes,None,Yes,Debit Card,Quarterly
1490,44,Male,Running Shoes,Footwear,745.87,Chicago,M,Pink,Summer,2.7,Active,Credit Card,Nextday,No,None,No,Debit Card,Bi-Weekly
1491,50,Male,Dress,Footwear,967.32,Los Angeles,XL,Pink,Spring,3.8,Active,Debit Card,Express,Yes,TECH10,No,Google Pay,Quarterly
1492,57,Other,sweater,Clothing,791.65,Seattle,M,Red,Fall,4.3,Active,Credit Card,Store pickup,Yes,BEAUTY5,No,Debit Card,Weekly
1493,21,Male,sweater,Electronics,236.81,Houston,M,Gray,All Seasons,2.1,Active,PayPal,Nextday,Yes,SPRING15,No,PayPal,Quarterly
1494,53,Other,Dress,Clothing,256.6,Las Vegas,L,Olive,Fall,1.1,Inactive,PayPal,Standard,No,None,No,Debit Card,Bi-Weekly
1495,41,Female,Running Shoes,Bags,160.58,Denver,XL,Gray,All Seasons,1.8,Active,Credit Card,Express,Yes,BEAUTY5,Yes,Google Pay,Monthly
1496,20,Other,Backpack,Footwear,178.64,Miami,N/A,Green,Spring,3.9,Inactive,Apple Pay,Free ship,Yes,SUMMER20,Yes,Debit Card,Yearly
1497,21,Female,Handbag,Electronics,196.29,Denver,N/A,Silver,Spring,4.8,Active,Apple Pay,Express,No,None,No,Credit Card,Bi-Weekly
1498,55,Other,sweater,Beauty,725.02,Los Angeles,L,Silver,All Seasons,3.0,Active,Apple Pay,Nextday,Yes,SUMMER20,Yes,Debit Card,Bi-Weekly
1499,29,Male,Backpack,Electronics,395.04,San Francisco,XL,Red,Summer,1.4,Inactive,PayPal,Express,Yes,TECH10,No,Google Pay,Monthly
1500,22,Male,Laptop,Bags,667.91,San Francisco,M,Red,Spring,3.1,Inactive,Apple Pay,Free ship,Yes,None,Yes,PayPal,Weekly
1501,33,Female,kurta,Bags,856.62,Houston,M,Blue,Spring,3.8,Inactive,Google Pay,Express,No,None,No,Credit Card,Yearly
1502,19,Other,kurta,Clothing,141.33,Seattle,M,Gray,Fall,1.3,Inactive,Digital Wallet,Standard,No,None,Yes,PayPal,Monthly
1503,39,Male,Backpack,Accessories,903.56,Houston,N/A,Blue,Fall,3.5,Active,Credit Card,Free ship,No,None,Yes,Credit Card,Weekly
1504,46,Male,Smartphone,Electronics,736.11,Chicago,N/A,Black,Fall,3.6,Active,Google Pay,Free ship,Yes,SUMMER20,Yes,PayPal,Yearly
1505,42,Other,T-Shirt,Accessories,681.7,San Francisco,N/A,Purple,Summer,4.9,Active,Debit Card,Express,Yes,SUMMER20,No,PayPal,Yearly
1506,20,Female,Perfume,Clothing,962.3,Denver,L,Red,Spring,4.2,Active,PayPal,Nextday,Yes,TECH10,No,Debit Card,Quarterly
1507,28,Other,jeans,Beauty,372.44,Los Angeles,S,Black,Fall,4.9,Inactive,Credit Card,Nextday,Yes,BEAUTY5,Yes,Credit Card,Yearly
1508,18,Female,sweater,Bags,480.63,Seattle,M,Pink,Fall,3.5,Active,Google Pay,Store pickup,No,None,No,Debit Card,Weekly
1509,50,Other,kurta,Electronics,44.33,Seattle,S,Purple,Spring,2.9,Inactive,Apple Pay,Standard,Yes,None,Yes,PayPal,Weekly
1510,22,Female,jeans,Electronics,507.76,San Francisco,XL,White,Summer,4.0,Inactive,Apple Pay,Standard,Yes,SPRING15,No,Google Pay,Monthly
1511,48,Female,Smartphone,Footwear,798.08,Los Angeles,L,Gold,Winter,4.4,Active,Apple Pay,Store pickup,Yes,TECH10,No,Google Pay,Monthly
1512,49,Other,jeans,Clothing,542.29,Houston,M,Gray,Summer,2.9,Inactive,Digital Wallet,Express,Yes,TECH10,No,Debit Card,Quarterly
1513,23,Male,Perfume,Clothing,850.59,San Francisco,M,Yellow,Spring,1.2,Active,Google Pay,Express,No,None,Yes,Credit Card,Weekly
1514,44,Female,sunglasses,Clothing,330.27,Chicago,S,Gold,Winter,3.9,Inactive,Credit Card,Nextday,No,None,Yes,Apple Pay,Monthly
1515,22,Female,jeans,Footwear,270.91,Miami,N/A,Green,Fall,2.1,Active,Credit Card,Express,Yes,None,Yes,Apple Pay,Yearly
1516,39,Male,Gaming Console,Electronics,889.07,Chicago,N/A,Pink,All Seasons,3.1,Inactive,Apple Pay,Store pickup,No,None,No,Google Pay,Yearly
1517,27,Male,Gaming Console,Accessories,915.53,San Francisco,L,Black,Winter,1.8,Inactive,Apple Pay,Express,Yes,SUMMER20,No,Credit Card,Monthly
1518,28,Other,Backpack,Footwear,725.56,Los Angeles,M,Black,Winter,4.6,Active,Digital Wallet,Free ship,Yes,None,No,Google Pay,Weekly
1519,42,Other,sweater,Accessories,303.8,Chicago,M,Black,Spring,2.8,Inactive,Google Pay,Store pickup,Yes,TECH10,Yes,Credit Card,Quarterly
1520,44,Other,Backpack,Bags,115.33,Houston,XL,Gray,Spring,1.3,Active,Digital Wallet,Standard,Yes,TECH10,No,Credit Card,Yearly
1521,51,Female,Backpack,Bags,230.88,Houston,L,Pink,All Seasons,3.4,Inactive,Google Pay,Nextday,No,None,Yes,Google Pay,Weekly
1522,59,Female,Dress,Accessories,113.07,Chicago,XL,Purple,Spring,4.9,Active,Google Pay,Free ship,No,None,No,Apple Pay,Bi-Weekly
1523,54,Male,Running Shoes,Footwear,89.86,San Francisco,L,Black,Spring,3.9,Inactive,PayPal,Express,Yes,TECH10,Yes,Google Pay,Bi-Weekly
1524,36,Female,kurta,Electronics,79.58,Las Vegas,L,Black,All Seasons,3.5,Active,Credit Card,Standard,Yes,SPRING15,Yes,Apple Pay,Bi-Weekly
1525,24,Male,T-Shirt,Electronics,76.4,Houston,M,Purple,Summer,1.8,Inactive,Digital Wallet,Store pickup,Yes,SPRING15,Yes,Debit Card,Quarterly
1526,47,Other,Wristwatch,Beauty,181.04,New York,M,Orange,Spring,4.5,Inactive,PayPal,Standard,Yes,None,Yes,Apple Pay,Bi-Weekly
1527,60,Male,Dress,Accessories,249.16,Denver,XL,Green,All Seasons,2.0,Active,Credit Card,Express,No,None,No,Google Pay,Weekly
1528,59,Male,Laptop,Bags,393.99,Los Angeles,S,Red,Winter,1.9,Inactive,PayPal,Free ship,No,None,No,PayPal,Bi-Weekly
1529,52,Male,Smartphone,Beauty,381.6,Denver,XL,Green,All Seasons,1.5,Inactive,Apple Pay,Standard,Yes,TECH10,Yes,Debit Card,Yearly
1530,56,Male,jeans,Electronics,835.96,Los Angeles,L,Gray,Spring,3.4,Inactive,Apple Pay,Express,Yes,None,Yes,Debit Card,Monthly
1531,31,Other,Smartphone,Electronics,96.71,Chicago,N/A,Grey,All Seasons,4.5,Active,Google Pay,Store pickup,Yes,SPRING15,Yes,Credit Card,Quarterly
1532,59,Other,sunglasses,Footwear,611.5,Boston,XL,White,Spring,1.3,Inactive,Apple Pay,Standard,No,None,No,Google Pay,Weekly
1533,58,Other,Backpack,Electronics,333.73,Miami,M,Red,Winter,2.0,Inactive,PayPal,Standard,Yes,SUMMER20,No,Credit Card,Weekly
1534,41,Male,Laptop,Footwear,452.06,Miami,XL,Gray,Summer,1.8,Inactive,PayPal,Store pickup,Yes,SUMMER20,No,Google Pay,Quarterly
1535,43,Female,Perfume,Accessories,319.57,Seattle,S,Gray,Fall,4.5,Active,Apple Pay,Store pickup,No,None,No,Google Pay,Quarterly
1536,29,Female,Smartphone,Footwear,561.09,Las Vegas,S,Olive,Fall,1.9,Inactive,Apple Pay,Express,Yes,SUMMER20,No,Credit Card,Quarterly
1537,43,Male,Perfume,Bags,748.63,Denver,N/A,Green,Fall,3.1,Inactive,Google Pay,Store pickup,Yes,None,No,Apple Pay,Bi-Weekly
